sub,prob,relativeMotion,PSE,slope
1,50,1,-0.0284168163792032,32.1537380916104
1,50,2,-0.0468308089210755,34.001728416914
1,70,1,-0.0150074376088098,40.6475260280622
1,70,2,-0.00253483920198483,51.5188106258825
1,90,1,-0.0094022781933989,39.9858773022578
1,90,2,-0.00901531480080385,51.0868554269687
2,50,1,-0.0636117044862615,41.8372128846911
2,50,2,-0.0588530577329638,21.7080940944005
2,70,1,-0.0273806803531509,47.0119851359408
2,70,2,0.00342574176707367,38.3143019267032
2,90,1,0.0621276810253989,36.8862492269604
2,90,2,0.055627991799316,34.8823042071551
3,50,1,0.00634918350088768,54.2558813257104
3,50,2,-0.00991704901511228,34.407563192327
3,70,1,0.00721402625388274,30.7781815617196
3,70,2,-0.0134009436726076,33.1294452619502
3,90,1,0.0273355013595527,33.7770289598522
3,90,2,0.0229945026843977,34.3862875783855
4,50,1,-0.0163587110998518,40.0860098334709
4,50,2,-0.0159102987553404,37.3182708287676
4,70,1,-0.0188607332784597,52.6977558487573
4,70,2,0.0145627628810839,23.2385148820824
4,90,1,0.0509383683998546,38.6852103472332
4,90,2,0.0260730143399285,25.494424233832
5,50,1,-0.0254814871114142,28.0030415809115
5,50,2,-0.0362388159994571,54.7917526375273
5,70,1,0.00549360570964094,25.223127605634
5,70,2,-0.0135933771587624,32.0208106715601
5,90,1,-0.0222096585994914,22.5631691592616
5,90,2,-0.0445983472538928,437.455354662674
6,50,1,-0.0902195106874411,8.99934157434602
6,50,2,-0.0291256465770037,31.2596302574799
6,70,1,-0.0509157401463523,23.7581763195056
6,70,2,-0.0099142770358017,31.7257960660711
6,90,1,0.0197043084359233,14.0461363582823
6,90,2,0.038424454427328,16.2606063654232
7,50,1,-0.0725584255672627,14.1920276895662
7,50,2,-0.07659666995178,14.8129705942105
7,70,1,-0.0425690100769654,27.2027729860779
7,70,2,-0.035885093217154,18.9302677544238
7,90,1,-0.0249249652032583,29.5080000416882
7,90,2,-0.034914656273969,21.4878910828983
8,50,1,0.0164025367801266,20.1840984361782
8,50,2,0.0270881957322128,19.4178522033842
8,70,1,0.0951696095467904,546.344186609904
8,70,2,0.104894239468254,24.1151421004209
8,90,1,0.0978429194329458,486.685328458559
8,90,2,0.0650423428713086,31.8259855865715
9,50,1,-0.0307305548260689,21.9583823184491
9,50,2,-0.0015455305415684,23.9791726701931
9,70,1,-0.0183967427377988,25.1790147456989
9,70,2,-0.0223407886232623,23.7897621170606
9,90,1,0.0952890878033584,21.6432226612064
9,90,2,0.0211489941214022,21.3490094818666
